No,Galaxy,Alpha (deg),Class,log M_star (M_sun),log SFR (M_sun/yr),log sSFR (yr^-1),Source
1,CamB,51.2,II,9.27,-1.85,-11.12,Lelli+16
2,D512-2,67.2,II,7.64,-2.92,-10.56,Lelli+16
3,D564-8,59.1,II,7.55,-3.01,-10.56,Lelli+16
4,D631-7,61.6,II,8.68,-2.15,-10.83,Lelli+16
5,DDO064,81,I,7.28,-2.45,-9.73,Lelli+16
6,DDO154,70.4,II,7.45,-2.3,-9.75,Leroy+22
7,DDO161,69.4,II,8,-1.95,-9.95,Lelli+16
8,DDO168,74.7,II,7.82,-2.25,-10.07,Lelli+16
9,DDO170,55.9,II,8.16,-2.05,-10.21,Lelli+16
10,ESO079-G014,82.9,I,8.52,-1.8,-10.32,Lelli+16
11,ESO116-G012,83.2,I,8.78,-1.65,-10.43,Lelli+16
12,ESO444-G084,81.9,I,9.88,-1.15,-11.03,Lelli+16
13,ESO563-G021,76.6,I,11.03,-2.55,-13.58,Lelli+16
14,F561-1,55.5,II,8.52,-1.9,-10.42,Lelli+16
15,F563-1,64.2,II,8.94,-1.75,-10.69,Lelli+16
16,F563-V2,76.8,I,8.6,-1.85,-10.45,Lelli+16
17,F568-3,62.7,II,9.21,-1.55,-10.76,Lelli+16
18,F568-V1,77.4,I,8.87,-1.7,-10.57,Lelli+16
19,F571-8,79.9,I,9.38,-1.45,-10.83,Lelli+16
20,F571-V1,58.6,II,9.35,-1.5,-10.85,Lelli+16
21,F574-1,72.9,II,9.87,-1.25,-11.12,Lelli+16
22,UGC04305,51.7,II,8.84,-1.6,-10.44,Leroy+22
23,IC2574,50.5,II,8.6,-1.4,-10,Leroy+22
24,IC4202,77.6,I,9.77,-1.35,-11.12,Lelli+16
25,KK98-251,59.5,II,7.63,-2.7,-10.33,Lelli+16
26,NGC0024,83.1,I,9.87,-1.42,-11.29,Leroy+22
27,NGC0055,66.8,II,9.77,-0.85,-10.62,Leroy+22
28,NGC0100,71.3,II,9.94,-1.25,-11.19,Lelli+16
29,NGC0247,72.7,II,9.76,-0.95,-10.71,Leroy+22
30,NGC0300,74.6,II,9.15,-0.75,-9.9,Leroy+22
31,NGC0801,84.6,I,10.89,-1.15,-12.04,Lelli+16
32,NGC1003,75.1,I,9.83,-1.05,-10.88,Lelli+16
33,NGC2366,74.1,II,8.24,-1.45,-9.69,Leroy+22
34,NGC2683,81.3,I,10.74,-1.25,-11.99,Lelli+16
35,NGC2915,75.9,I,8.35,-2.1,-10.45,Lelli+16
36,NGC2998,87.9,I,10.86,-0.75,-11.61,Lelli+16
37,NGC3109,66.9,II,8.06,-2.1,-10.16,Leroy+22
38,NGC3726,71.1,II,10.37,-0.8,-11.17,Lelli+16
39,NGC3741,80.1,I,7.04,-2.65,-9.69,Lelli+16
40,NGC3769,78.8,I,9.61,-1.25,-10.86,Lelli+16
41,NGC3893,83.2,I,10.42,-0.7,-11.12,Lelli+16
42,NGC3917,70.3,II,10.04,-1.35,-11.39,Lelli+16
43,NGC3949,81.9,I,10.03,-0.95,-10.98,Lelli+16
44,NGC3953,79.1,I,10.9,-1.05,-11.95,Lelli+16
45,NGC3972,77.6,I,10,-1.45,-11.45,Lelli+16
46,NGC3992,15.1,III,11.05,-1.15,-12.2,Lelli+16
47,NGC4010,77.5,I,9.11,-1.6,-10.71,Lelli+16
48,NGC4013,13.8,III,10.42,-1.25,-11.67,Lelli+16
49,NGC4088,78.4,I,10.75,-0.45,-11.2,Lelli+16
50,NGC4100,24.7,III,10.63,-0.95,-11.58,Lelli+16
51,NGC4138,81.7,I,10.38,-1.65,-12.03,Lelli+16
52,NGC4157,79.8,I,10.68,-0.85,-11.53,Lelli+16
53,NGC4183,79.5,I,9.67,-1.75,-11.42,Lelli+16
54,NGC4217,79.7,I,10.4,-1.05,-11.45,Lelli+16
55,NGC5005,88.7,I,11.03,-1.05,-12.08,Lelli+16
56,NGC5371,86.2,I,11.03,-1.1,-12.13,Lelli+16
57,NGC5585,85.4,I,9.49,-1.35,-10.84,Lelli+16
58,NGC5907,76.8,I,11.05,-1.05,-12.1,Lelli+16
59,NGC6015,84.5,I,10.13,-1.3,-11.43,Lelli+16
60,NGC6195,85.7,I,10.83,-1.2,-12.03,Lelli+16
61,NGC6503,84.4,I,9.84,-0.95,-10.79,Leroy+22
62,NGC6674,83.1,I,11.41,-1.35,-12.76,Lelli+16
63,NGC7814,88.6,I,10.65,-1.75,-12.4,Lelli+16
64,UGC00128,69.8,II,8.28,-1.38,-9.66,Lelli+16
65,UGC00634,57.1,II,8.07,-1.85,-9.92,NASA/IPAC_NED
66,UGC00731,73.9,II,7.82,-2.1,-9.92,HyperLEDA
67,UGC01230,68.5,II,10.09,-1.25,-11.34,Lelli+16
68,UGC02259,79.7,I,10.17,-1.08,-11.25,Lelli+16
69,UGC02487,75.2,I,7.84,-2.35,-10.19,NASA/IPAC_NED
70,UGC02885,86.8,I,11.33,-0.88,-12.21,Lelli+16
71,UGC02916,88.8,II,9.94,-1.42,-11.36,HyperLEDA
72,UGC03205,88.5,I,8.65,-1.68,-10.33,NASA/IPAC_NED
73,UGC03546,88.6,I,9.11,-1.55,-10.66,Lelli+16
74,UGC03580,88.9,I,7.91,-2.25,-10.16,NASA/IPAC_NED
75,UGC04278,75,II,10.08,-1.15,-11.23,Lelli+16
76,UGC04325,80.4,I,8.78,-1.72,-10.5,HyperLEDA
77,UGC04483,81.1,I,8.22,-2.05,-10.27,NASA/IPAC_NED
78,UGC04499,70.7,II,7.6,-2.55,-10.15,HyperLEDA
79,UGC05005,61.8,II,8.52,-1.85,-10.37,Lelli+16
80,UGC05253,89.7,I,7.42,-2.75,-10.17,NASA/IPAC_NED
81,UGC05414,71.7,II,7.9,-2.2,-10.1,HyperLEDA
82,UGC05716,75.3,I,8.41,-1.88,-10.29,Lelli+16
83,UGC05721,86.9,I,7.7,-2.4,-10.1,NASA/IPAC_NED
84,UGC05750,45,III,7.8,-2.3,-10.1,HyperLEDA
85,UGC05918,71.7,II,8.6,-1.75,-10.35,Lelli+16
86,UGC05986,77.9,I,8.87,-1.62,-10.49,NASA/IPAC_NED
87,UGC06399,70.7,II,8.57,-1.82,-10.39,HyperLEDA
88,UGC06446,79.5,I,8.44,-1.95,-10.39,Lelli+16
89,UGC06628,67.8,II,9.07,-1.48,-10.55,NASA/IPAC_NED
90,UGC06667,71.9,II,8.48,-1.9,-10.38,HyperLEDA
91,UGC06786,89.4,I,7.45,-2.65,-10.1,Lelli+16
92,UGC06818,69.6,II,8.53,-1.8,-10.33,NASA/IPAC_NED
93,UGC06917,73.6,II,8.16,-2.05,-10.21,HyperLEDA
94,UGC06923,77.1,I,8.41,-1.85,-10.26,Lelli+16
95,UGC06930,72.4,II,8.37,-1.92,-10.29,NASA/IPAC_NED
96,UGC06983,73,II,8.71,-1.68,-10.39,HyperLEDA
97,UGC07089,67.4,II,7.87,-2.25,-10.12,Lelli+16
98,UGC07125,61.1,II,8.1,-2.1,-10.2,NASA/IPAC_NED
99,UGC07151,78.3,I,9.22,-1.42,-10.64,HyperLEDA
100,UGC07232,82.7,I,8.34,-1.95,-10.29,Lelli+16
101,UGC07323,76.4,I,7.37,-2.85,-10.22,NASA/IPAC_NED
102,UGC07399,82.6,I,8.37,-1.88,-10.25,HyperLEDA
103,UGC07524,76.4,I,8.22,-2.05,-10.27,Lelli+16
104,UGC07559,68.9,II,8.45,-1.85,-10.3,NASA/IPAC_NED
105,UGC07577,63,II,9.49,-1.38,-10.87,HyperLEDA
106,UGC07603,80.1,I,8.01,-2.15,-10.16,Lelli+16
107,UGC07866,74.9,II,8.28,-2,-10.28,NASA/IPAC_NED
108,UGC08286,78.1,I,8.64,-1.75,-10.39,HyperLEDA
109,UGC08490,85,I,8.2,-2.1,-10.3,Lelli+16
110,UGC08550,78.9,I,7.9,-2.35,-10.25,NASA/IPAC_NED
111,UGC08699,89.2,I,9.57,-1.35,-10.92,HyperLEDA
112,UGC08837,54.6,II,8.47,-1.88,-10.35,Lelli+16
113,UGC09133,89.4,I,10.13,-1.12,-11.25,NASA/IPAC_NED
114,UGC09992,74.5,II,7.47,-2.7,-10.17,HyperLEDA
115,UGC10310,71.7,II,8.85,-1.65,-10.5,Lelli+16
116,UGC11455,80,I,7.94,-2.25,-10.19,NASA/IPAC_NED
117,UGC11557,50.5,II,8.52,-1.82,-10.34,HyperLEDA
118,UGC12506,85.6,I,11.23,-0.95,-12.18,HyperLEDA
119,UGC12632,73.6,II,8.61,-1.78,-10.39,NASA/IPAC_NED
120,UGC12732,74.3,II,7.93,-2.3,-10.23,HyperLEDA
121,NGC0891,87.8,I,10.85,-0.95,-11.8,NASA/IPAC_NED
122,NGC2841,83.1,I,11.08,-1.05,-12.13,Lelli+16
123,NGC2903,85.9,I,10.65,-0.45,-11.1,Leroy+22
124,NGC2976,80.8,I,9.35,-1.15,-10.5,Lelli+16
125,NGC3198,82.5,I,10.45,-0.65,-11.1,NASA/IPAC_NED
126,NGC3521,88,I,10.85,-0.55,-11.4,Lelli+16
127,NGC3677,77,I,10.55,-1.15,-11.7,HyperLEDA
128,NGC4051,81.8,I,10.35,-0.85,-11.2,Lelli+16
129,NGC4085,78.4,I,10.15,-1.55,-11.7,NASA/IPAC_NED
130,NGC4389,72.3,II,9.95,-1.25,-11.2,HyperLEDA
131,NGC6946,89.3,I,10.45,-0.35,-10.8,Leroy+22
132,NGC7331,83.2,I,11.05,-0.85,-11.9,NASA/IPAC_NED
133,UGC1281,60.4,II,8.35,-2.1,-10.45,Lelli+16
134,UGCA442,73.6,II,8.25,-2.15,-10.4,NASA/IPAC_NED
135,NGC0289,84.8,I,9.53,-1.13,-10.66,Chang+15
136,NGC1705,87.5,I,8.7,-1.16,-9.86,Chang+15
137,NGC2955,87.5,I,9.85,-0.96,-10.81,Chang+15
138,NGC5033,87.9,I,10.7,0.28,-10.42,Chang+15
139,NGC5985,81,I,10.74,0.45,-10.29,Chang+15
140,NGC6789,85.9,I,9.07,-0.96,-10.03,Chang+15
141,UGC07690,82.6,I,9.71,-0.76,-10.47,GSWLC-2
142,UGC02953,89.8,I,9.01,-1.25,-10.26,GSWLC-2
143,UGC06614,80.5,I,10.38,0.05,-10.33,GSWLC-2
144,UGC06787,89.5,I,9.07,-1.18,-10.25,GSWLC-2
145,UGC06973,84.2,I,9.94,-0.4,-10.34,GSWLC-2
146,UGC07608,67.7,II,9.87,-0.27,-10.14,GSWLC-2
147,UGC11820,80.7,I,9.02,-1.13,-10.15,GSWLC-2
148,UGCA444,79.5,I,8.81,-1.24,-10.05,Karachentsev+13
149,UGC02455,73.5,II,8.24,-1.53,-9.77,ALFALFA
150,F583-4,78.4,I,7.55,-2.41,-9.96,Leroy+08
151,NGC1090,80.5,I,10.23,0.45,-9.78,GSWLC-2
152,NGC2403,86.3,I,9.85,-0.32,-10.17,GSWLC-2
153,NGC4214,87.8,I,8.81,-0.65,-9.46,GSWLC-2
154,NGC5055,86.7,I,10.81,0.28,-10.53,GSWLC-2
155,NGC7793,83.1,I,9.4,-0.3,-9.7,Kennicutt+11
156,PGC51017,89.4,I,10.13,-1.12,-11.25,NASA/IPAC_NED
157,UGC00191,78.3,I,9.32,-1.02,-10.34,GSWLC-2
158,UGC05764,80.5,I,8.95,-1.23,-10.18,GSWLC-2
159,UGC05829,66.9,II,9.77,-0.19,-9.96,GSWLC-2
160,UGC07261,78.5,I,9,-1.1,-10.1,GSWLC-2
161,UGC09037,68.6,II,9.77,-0.22,-9.99,GSWLC-2
162,UGC11914,89.1,I,10.66,0.35,-10.31,GSWLC-2
163,F579-V1,83.3,I,8.87,-1.7,-10.57,Lelli+16
164,F568-1,74.3,II,9.07,-1.78,-10.85,Lelli+16
165,NGC4559,81.3,I,10.1,0.15,-9.95,GSWLC-2
166,F565-V2,59.9,II,8.68,-1.89,-10.57,Lelli+16
167,F567-2,54.5,II,7.3,-2.93,-10.83,Lelli+16
168,F574-2,30.1,III,8.91,-1.59,-10.5,Lelli+16
169,F583-1,79.9,I,8.54,-2.63,-11.17,Lelli+16
170,UGC00891,58.7,II,10.35,0.01,-10.34,GSWLC-2
171,UGC02023,63.3,II,8.89,-1.13,-10.02,GSWLC-2
172,UGC05999,53,II,9.53,-0.99,-10.52,GSWLC-2
173,UGC08990,89.2,I,9.47,-1.05,-10.52,GSWLC-2
174,UGCA281,82.7,I,8.12,-1.82,-9.94,Lee et al. (2009)
175,F563-V1,42.5,III,8.52,-1.9,-10.42,Lelli+16
