Galaxy_Name,Class_ID,Dynamical_Class,Detailed_Morphology
NGC0289,1,Childhood,SAB(rs)bc
NGC0891,1,Childhood,SA(s)b
NGC1705,1,Childhood,Amorphous
NGC2683,1,Childhood,SA(rs)b
NGC2841,1,Childhood,SA(r)b
NGC2955,1,Childhood,SA(r)0
NGC2998,1,Childhood,SA(s)c
NGC3521,1,Childhood,SAB(rs)bc
NGC3726,1,Childhood,SAB(r)c
NGC3769,1,Childhood,SB(r)b
NGC3893,1,Childhood,SAB(rs)c
NGC3992,1,Childhood,SB(rs)bc
NGC4013,1,Childhood,SA(s)b
NGC4051,1,Childhood,SAB(rs)bc
NGC4138,1,Childhood,SA(r)0
NGC4214,1,Childhood,IAB(s)m
NGC5005,1,Childhood,SAB(rs)bc
NGC5033,1,Childhood,SA(s)c
NGC5055,1,Childhood,SA(rs)bc
NGC5371,1,Childhood,SAB(rs)bc
NGC5907,1,Childhood,SA(s)c
NGC6195,1,Childhood,SBb
NGC6674,1,Childhood,SB(s)b
NGC6946,1,Childhood,SAB(rs)cd
NGC7331,1,Childhood,SA(s)b
NGC7814,1,Childhood,SA(s)ab
PGC51017,1,Childhood,BCD
UGC02487,1,Childhood,S0
UGC02885,1,Childhood,SA(rs)c
UGC02916,1,Childhood,SAB(rs)c
UGC02953,1,Childhood,SABc
UGC03205,1,Childhood,SBc
UGC03546,1,Childhood,SAc
UGC03580,1,Childhood,SAcd
UGC05253,1,Childhood,SABc
UGC06614,1,Childhood,SAB(s)c
UGC06786,1,Childhood,S0/a
UGC06787,1,Childhood,SAB(s)bc
UGC06973,1,Childhood,SAB(rs)b
UGC07690,1,Childhood,Im
UGC08490,1,Childhood,Sm
UGC08699,1,Childhood,Sc
UGC09133,1,Childhood,Sbc
UGC09992,1,Childhood,Im
UGC11914,1,Childhood,Sbc
D512-2,2,Youth,Im
D631-7,2,Youth,Im
DDO064,2,Youth,Im
DDO154,2,Youth,Im
DDO161,2,Youth,Im
DDO168,2,Youth,Im
DDO170,2,Youth,Im
ESO079-G014,2,Youth,SBc
ESO116-G012,2,Youth,Sd
ESO444-G084,2,Youth,Im
ESO563-G021,2,Youth,SBc
F561-1,2,Youth,Sm
F563-1,2,Youth,Sm
F563-V2,2,Youth,Im
F565-V2,2,Youth,Im
F567-2,2,Youth,Sm
F568-1,2,Youth,Sc
F568-3,2,Youth,Sd
F568-V1,2,Youth,Sd
F571-8,2,Youth,Sc
F571-V1,2,Youth,Scd
F574-1,2,Youth,Sd
F579-V1,2,Youth,Sc
F583-1,2,Youth,Sm
F583-4,2,Youth,Sc
IC4202,2,Youth,SBc
KK98-251,2,Youth,Im
NGC0024,2,Youth,SA(s)c
NGC0055,2,Youth,SB(s)m
NGC0100,2,Youth,SA(s)cd
NGC0247,2,Youth,SAB(s)d
NGC0300,2,Youth,SA(s)d
NGC0801,2,Youth,Sc
NGC1003,2,Youth,SA(s)cd
NGC1090,2,Youth,SB(rs)bc
NGC2366,2,Youth,IB(s)m
NGC2403,2,Youth,SAB(s)cd
NGC2903,2,Youth,SB(s)d
NGC2915,2,Youth,BCD
NGC2976,2,Youth,SAc pec
NGC3109,2,Youth,Sm
NGC3198,2,Youth,SB(rs)c
NGC3741,2,Youth,Im
NGC3877,2,Youth,Sc
NGC3917,2,Youth,SAcd
NGC3949,2,Youth,SA(s)bc
NGC3953,2,Youth,SB(r)bc
NGC3972,2,Youth,SA(s)bc
NGC4010,2,Youth,SB(s)d
NGC4068,2,Youth,Im
NGC4085,2,Youth,SAB(s)c
NGC4088,2,Youth,SAB(rs)bc
NGC4100,2,Youth,SA(rs)bc
NGC4157,2,Youth,SAB(s)b
NGC4183,2,Youth,SA(s)cd
NGC4217,2,Youth,SA(s)b
NGC4389,2,Youth,SB(rs)bc
NGC4559,2,Youth,SAB(rs)cd
NGC5585,2,Youth,SAB(s)d
NGC5985,2,Youth,SA(r)b
NGC6015,2,Youth,SA(s)cd
NGC6503,2,Youth,SA(s)cd
NGC6789,2,Youth,BCD
NGC7793,2,Youth,SA(s)d
UGC00128,2,Youth,Sdm
UGC00191,2,Youth,Sm
UGC00634,2,Youth,Sm
UGC00731,2,Youth,Im
UGC00891,2,Youth,Sm
UGC01230,2,Youth,Sm
UGC01281,2,Youth,Sdm
UGC02023,2,Youth,Im
UGC02259,2,Youth,Sdm
UGC02455,2,Youth,Im
UGC04278,2,Youth,Scd
UGC04305,2,Youth,Im
UGC04325,2,Youth,Sm
UGC04483,2,Youth,Im
UGC04499,2,Youth,Sdm
UGC05005,2,Youth,Im
UGC05414,2,Youth,Im
UGC05716,2,Youth,Sm
UGC05721,2,Youth,Scd
UGC05764,2,Youth,Im
UGC05829,2,Youth,Im
UGC05918,2,Youth,Im
UGC05986,2,Youth,Sm
UGC05999,2,Youth,Im
UGC06399,2,Youth,Sm
UGC06446,2,Youth,Scd
UGC06628,2,Youth,Sm
UGC06667,2,Youth,Scd
UGC06818,2,Youth,Sm
UGC06917,2,Youth,Sm
UGC06923,2,Youth,Im
UGC06930,2,Youth,Scd
UGC06983,2,Youth,Scd
UGC07089,2,Youth,Scd
UGC07125,2,Youth,Sm
UGC07151,2,Youth,Scd
UGC07232,2,Youth,Im
UGC07261,2,Youth,Sdm
UGC07323,2,Youth,Sdm
UGC07399,2,Youth,Sdm
UGC07524,2,Youth,Sm
UGC07559,2,Youth,Im
UGC07603,2,Youth,Sd
UGC07608,2,Youth,Im
UGC07866,2,Youth,Im
UGC08286,2,Youth,Scd
UGC08550,2,Youth,Scd
UGC08837,2,Youth,Im
UGC09037,2,Youth,SBc
UGC10310,2,Youth,Sm
UGC11455,2,Youth,SBcd
UGC11557,2,Youth,Sdm
UGC11820,2,Youth,Sm
UGC12506,2,Youth,SBcd
UGC12632,2,Youth,Sm
UGC12732,2,Youth,Sm
UGCA281,2,Youth,BCD
UGCA442,2,Youth,Sm
UGCA444,2,Youth,Im
CamB,3,Old Age,Im
D564-8,3,Old Age,Im
F563-V1,3,Old Age,Im
F574-2,3,Old Age,Sm
IC2574,3,Old Age,SAB(s)m
UGC05750,3,Old Age,Sdm
UGC07577,3,Old Age,Im
